round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,27806.35,29670.2,0.7219392806071939,0.7626383999999999
2,41500.45,44163.1,0.5849996500035,0.6466952
3,50721.7,53864.5,0.49278807211927883,0.5690839999999999
4,58033.55,61554.75,0.419670303296967,0.507562
5,64435.5,68314.35,0.35565144348556516,0.4534852
6,70445.15,74700.95,0.29555554444455556,0.4023924
7,76329.8,81041.1,0.23670963290367092,0.3516712
8,82196.5,87497.5,0.17804321956780428,0.30002
9,87970.65,94067.05,0.12030229697703018,0.24746359999999998
10,93257.95,100461.05,0.06742982570174293,0.19631159999999998
11,97274.85,105828.6,0.027261227387726062,0.15337119999999999
12,99374.6,109112.55,0.00626393736062634,0.1270996
13,99938.45,110198.4,0.000625493745062495,0.11841280000000001
14,99997.5,110335.6,3.499965000346994e-05,0.1173152
15,100000.0,110358.33333333333,9.999900000945416e-06,0.11713333333333334
