round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,11492.95,12381.15,0.7126834329141771,0.7545477246932607
2,17285.7,18563.35,0.5678683032924177,0.6319879034357327
3,21255.3,22772.75,0.4686307842303942,0.548538211113803
4,24428.05,26140.8,0.38931401714957126,0.48176793405151874
5,27218.3,29115.8,0.31955951101222463,0.42278980938539
6,29815.7,31909.65,0.2546261343466413,0.36740300015774896
7,32301.75,34627.4,0.19247643808904774,0.31352482913270247
8,34661.95,37288.7,0.13347291317717053,0.26076569699296215
9,36809.35,39821.4,0.07978925526861824,0.21055569280008246
10,38498.35,41966.75,0.03756531086722827,0.16802441170411464
11,39507.0,43392.05,0.012349691257718511,0.13976746128772766
12,39894.25,44008.05,0.002668683282917875,0.12755489555211014
13,39983.7,44159.9,0.00043248918777026503,0.12454431010800956
14,39995.65,44179.7,0.0001337466563335723,0.12415176347173958
15,39996.5,44189.25,0.00011249718757028945,0.12404571278998755
16,39996.5,44168.0,0.0001124971875702935,0.1241328417093874
17,39998.0,44190.0,7.499812504685455e-05,0.1231968888271592
